義	righteousness	righteousness, meaning	righteousness
議	deliberation	discuss, legislative body	deliberation
犠	sacrifice	sacrifice	sacrifice
抹	rub	wipe	rub
抱	embrace	hug	embrace
搭	board	board	board
抄	extract	excerpt	extract
抗	confront	resist	confront
批	criticism	criticize	criticism
招	beckon	invite	beckon
拓	clear the land	open up	clear (the land)
拍	clap	beat	clap
打	strike	strike	hit
拘	arrest	arrest	arrest
捨	discard	discard	throw away
拐	kidnap	kidnap	kidnap
摘	pinch	pick	pinch
挑	challenge	provoke	challenge
指	finger	finger, point	finger
持	hold	hold	hold
括	fasten	lump together	fasten
揮	brandish	wield	brandish
推	conjecture	infer	infer
揚	hoist	raise high, exalt	hoist
提	propose	present	present
損	damage	loss	loss
拾	pick up	pick up	pick up
担	shouldering	bear on shoulder, undertake	shouldering
拠	foothold	grounds	foothold
描	sketch	depict	sketch
操	maneuver	manipulate	maneuver
接	touch	contact	contact
掲	put up (a notice)	put up	put up (a notice)
掛	hang	set, hang	hang
研	polish	grind, research	sharpen
戒	commandment	caution	commandment
械	contraption	mechanical contrivance	contraption
鼻	nose	nose	nose
刑	punish	penalty	punish
型	mould	type	model
才	genius	talent, age suffix	genius
財	property	wealth	wealth
材	lumber	timber, material	lumber
存	suppose	exist	suppose
在	exist	be	exist
乃	from	possessive particle	
携	portable	carry in the hand	portable
及	reach out	reach to 	reach out
吸	suck	suck, breathe in	suck
扱	handle	handle	handle
丈	length	stout, stature	length
史	history	history	history
吏	officer	official	officer
更	grow late	renew	grow late
硬	stiff	hard	stiff
又	or again	again	or again
双	pair	set of two	pair
桑	mulberry	mulberry	mulberry
隻	vessels	one of a pair, counter for ships	vessels
護	safeguard	protect	safeguard
獲	seize	catch game	seize
奴	guy	slave, guy	guy
怒	angry	get angry	angry
友	friend	friend	friend
抜	slip out	pull out, stand out	slip out
投	throw	throw, send in	throw
没	drown	sink	drown
設	establishment	set up	establish
撃	beat	strike	beat
殻	husk	shell	husk
支	branch	branch, support	branch
技	skill	skill	skill
枝	bough	branch	branch
肢	limb	limb	limb
茎	stalk	stem	stalk
怪	suspicious	mysterious	suspicious
軽	lightly	light	light
叔	uncle	younger sibling of parent	uncle
督	coach	supervise, commander	coach
寂	loneliness	lonesome	loneliness
淑	graceful	graceful	graceful
反	anti-	counter	anti-
坂	slope	slope	slope
板	plank	board, plate	board
返	return	return	return
販	marketing	engage in sales	marketing
爪	claw		claw
妥	gentle	come to terms	gentle
乳	milk	milk	milk
浮	floating	float	floating
将	leader	general officer	leader
奨	exhort	encourage	exhort
採	pick	pick, gather	pick
菜	vegetable	vegetable	vegetable
受	accept	receive	accept
授	impart	confer	instruct
愛	love	love	love
払	pay	clear away, pay	pay
広	wide	wide	wide
拡	broaden	enlarge	broaden
鉱	mineral	ore, mine	mineral
弁	valve	speak eloquently, valve	valve
雄	masculine / male	male, heroic	male
台	pedestal	stand, counter for vehicles	pedestal
怠	neglect	remiss	neglect
治	reign	govern, cure	govern
始	commence	begin	begin
胎	womb	fetus, womb	womb
窓	window	window	window
去	gone	go away	leave
法	method	law, method	method
会	meeting	meet, society	association
至	climax	come to 	climax
室	room	room	room
到	arrival	arrive	arrival
致	doth	bring about, do humbly	(to) do
互	mutually	reciprocal	mutually
棄	abandon	abandon	abandon
育	bring up	raise	nurture
撤	remove	withdraw	remove
充	allot	fill	allot
銃	gun	gun	gun
硫	sulphur	sulfur	sulphur
流	current	flow, current, style	stream
允	license	give consent	
唆	tempt	instigate	tempt
出	exit	go out, put out	exit
山	mountain	mountain	mountain
拙	bungling	clumsy	bungling
岩	boulder	rock	boulder
炭	charcoal	coal, charcoal	charcoal
